accession,abundance WT,abundance FRDA,p-value
O15357,147618.59005436033,133642.12769778332,0.6886026797016829
P61326,158268.99450697764,166869.77311369366,0.7077155877881186
P11172,364717.2840685293,334691.823749512,0.6363347684061194
P13667,2937810.156067913,3065950.007368703,0.7365283888106424
Q15084,6318270.018388939,6081163.264373864,0.7232075811021137
O95232,101178.32303998573,91578.38575678748,0.8063207390763627
Q96S19,53507.26556413153,57039.31478152954,0.8800400808998745
Q641Q2,189751.68678122736,171411.73989287333,0.6680001341614444
Q96IJ6,518229.0981149557,537666.3748431243,0.7326017715211262
Q14919,214852.17769284835,185208.74168936198,0.6758873611799587
Q9H2U1,46294.382765656635,48613.454543020525,0.7884242833772285
O43847,373566.2422103167,359651.5097039896,0.7537738478496954
P60174,27748654.253971,26188762.74406253,0.6957906805700818
P04264,98546.48788414053,92574.3296406805,0.914469580893024
Q9UKZ1,461368.058251869,477227.4283934816,0.9063829805109724
Q3MII6,19931.729717409904,21174.4068633519,0.8064537661421227
Q8TDX7,66980.60261398864,71744.71562867063,0.670934511404505
P30085,1406858.5909278498,1334180.4657977999,0.6964238530427624
P06730,871689.6634485909,765882.4165797202,0.6161401157527903
P46976,171364.051972621,186395.99192333795,0.7508558436110064
Q9BU02,142188.14902932735,135533.12086819668,0.7006593296409394
O95487,73809.2376707333,77377.28913708856,0.8832229046855337
Q92990,122795.10834010619,129231.01570354168,0.7850764308847142
Q13303,263441.4849828837,243717.575899041,0.671510908556256
O60869,271971.0954455293,286805.5531688437,0.7957645825592415
Q9H0C8,124387.27827660767,120275.76081447746,0.818049732344961
Q8IYB5,110335.8378816723,103232.20460194768,0.7877242369345746
Q92995,59287.90290763253,62303.28604534626,0.8058545873953843
P25789,1945307.4107452536,1824574.9419544134,0.6725137049970491
P60228,2381127.7278995165,2526865.6507617733,0.8204287817738103
Q8WXD5,75904.9366578464,67618.3677532402,0.7057134138375842
P14174,21828382.793144535,23253810.166138634,0.6710508510937739
Q9NXJ5,86594.25472119973,89705.49930827717,0.7996302905781933
P38919,1241947.3811333163,1167939.1216925492,0.7418600893501769
Q8WZA0,71171.08356172162,76580.18556041933,0.7608517627901127
Q9NRX4,2019846.2377688366,1966655.6549054366,0.7127720769592274
P62312,374795.071343254,344914.74865185766,0.7153983102735163
Q8WV28,48891.975480597,44421.168477652005,0.7399964999136655
Q8NHV4,44293.997214493334,48604.41962711866,0.7267371094999353
P16070,117758.35595314276,123314.72652821401,0.8818640764796152
P50583,191096.67334956536,199387.242735118,0.8294505441444687
Q04864,86404.37050860257,89706.82109445233,0.863298372727398
Q71U36,50734100.98565697,49659651.34574026,0.7562468708731471
Q7Z6M1,24517.3793756661,22366.533116161136,0.6796891306016664
Q2M389,272711.6005959106,236095.41964970235,0.6431448711703142
Q7Z2W4,142481.32385531202,151677.13412333,0.7850296728863455
O75122,113215.996336052,100848.15956235926,0.6150528157960599
Q92599,752117.6404203909,774288.8308706837,0.7750288253407006
P51149,513169.042874299,542147.4332912617,0.7639812015720249
P08397,369243.3470791443,300677.2371964027,0.6310831167584559
Q9UJY5,58622.3369231014,56381.78193908604,0.8195087165917639
Q9HCN4,143144.6097469455,159637.9150652463,0.7762817129138517
Q9UG63,727483.4701184003,752865.8297902202,0.8102577074735406
P28066,2877509.2202119664,2968451.9921218404,0.7446808680806137
Q9UEE9,53682.605786091764,55429.837928745466,0.824437057911751
Q9H2G2,266236.41143848,259013.00039970028,0.7607153179460617
Q12931,326592.68903876934,340414.4356339416,0.7998570668178222
Q9UDY8,208777.17626757603,217923.16237947333,0.8057546571035893
Q53GQ0,17167.697943339936,13841.691493841237,0.6605164600702742
Q96I99,171905.59424718036,179336.68151720698,0.8297828430627439
Q13247,260558.260890343,245863.83519465034,0.7984777849163666
Q9UNY4,25242.425832771736,22389.627839532735,0.6769538389973865
Q5T2E6,1042209.8664471894,955328.3916507009,0.7061754006461626
Q92619,786503.2551895868,690494.699383279,0.622885502454235
O15372,958247.7318569327,987067.3576387139,0.8734214544606524
Q9H5N1,72095.17146729578,69543.41038376813,0.7557828454248736
Q16531,1061702.4185913198,1011327.0863866847,0.7978855398567293
P18031,220453.68305970434,227926.12055003303,0.8900446386273685
P42574,505000.9687171976,532720.7209595001,0.6906936534146921
Q96EV8,24955.471520932606,21165.80983045737,0.5709273139660501
P54725,842353.044916188,889339.6916534329,0.7844361623518709
O75153,349771.6747076903,365256.0522455554,0.7942055086657587
Q8N6M0,334825.88941662636,320474.8715218617,0.7865589257087414
P61758,1048944.6339956585,1085333.5040811067,0.8206672469524552
P61221,2790588.33808778,2502501.7924888036,0.6786939282680143
Q15437,1311428.362215305,1409429.4080123699,0.7497126680661137
P01911,901226.730751152,969058.9770031885,0.7161064001323111
Q6P2Q9,767664.6069471543,810162.0053506979,0.8463282723352941
O60547,139168.11399553833,134682.085549947,0.8809011477155536
Q06546,127422.85658836736,121984.04458042199,0.7285211984821638
Q12904,534689.0672213706,547891.0407159369,0.9326901960886994
Q9Y530,1248302.8579761365,1323346.3536919334,0.7863789066743905
Q5R372,361396.450187016,377240.82763701933,0.7366990258088473
Q9P000,48790.110605812435,50759.9968473129,0.7153073122865916
P22059,138118.65874114033,142262.405513039,0.7253519063719895
P23246,695287.7161074877,659864.6387338556,0.6696234086220787
Q9BXS5,373183.42409677804,380773.686014345,0.7523309626498302
O75843,28556.647400426806,30227.9035453426,0.8154079686146236
Q06830,12299855.453301998,12809826.101276567,0.709957903221379
Q9NP97,559087.2583977667,530896.1111583617,0.7244856553968646
P53611,50573.3030210325,45306.799069881235,0.7477224988994464
Q13526,140485.41322070168,145429.41486592634,0.8502011479310304
P16383,73650.8680666613,78982.0438561722,0.8219262426880438
P11387,288333.3679190853,275664.84951862064,0.7581860936865789
P30050,2850767.5988326464,2949455.3447534633,0.8388023429477403
O00159,70911.27550510345,55106.316073539376,0.5794422801861703
Q6FI81,537645.59737622,522772.29952576966,0.7707001408371725
P16989,2066270.5696272098,1913279.5525222633,0.6436202326736358
P48729,69447.8625183729,63779.99153913416,0.718629393692614
P52209,3425448.8718549497,3504596.6098311897,0.8370208314578385
O00193,446886.5116645687,415317.80317355465,0.7923219902723049
P13010,13312922.8403256,12177005.268240565,0.6833737543245775
P27348,3535580.969937347,3603607.626218037,0.7801119953250546
P30566,1537585.072455002,1357260.1660491833,0.6209532727813698
Q9BTC0,61367.479113466165,49886.214819018096,0.6373344235929167
Q9UL33,55065.85785212494,59727.2075458786,0.7480248823776049
P40616,467482.69326691004,481043.46220065,0.8749965413773051
Q9P2J5,836537.3256296213,823587.6808225149,0.7440839954492884
Q7Z2Z2,161142.60012740552,167642.93525514734,0.8803505409209316
Q96P16,66611.79206636963,58295.06538034976,0.6771914449992116
O43143,433818.8130055314,418859.0675865023,0.7383687311962099
Q16537,101884.80554019295,94600.38124185601,0.6799642465508552
Q9NZL9,409465.6891321843,422867.793633287,0.8166099367519308
Q96M27,242941.58835119134,225810.47898009466,0.6931341284876986
Q96T60,75451.09013929784,68001.05039683444,0.7730200406187498
P30084,117679.84952586248,124191.172485077,0.804044021292028
Q5VW32,136687.907046077,124673.27306278847,0.7395315424961963
Q9Y6G9,178946.572198245,174396.26343288366,0.7741644663511238
Q8NF50,218475.5214416783,205639.99417416635,0.7464475127333967
P02768,2261125.238386703,2119142.6629071734,0.7994575997677128
Q13868,56982.17770764877,50324.49643493933,0.7005333999492489
O43747,616978.6633626174,588170.9476867776,0.8111250732199586
O94903,386743.3990545464,402255.6785917214,0.7733385027881202
Q6ZSZ5,138136.2811957642,144431.86654064,0.8682744592108833
P42166,793519.6754580486,813473.0741705996,0.8303392622147917
Q9C0B0,131244.18534412197,134582.77265160234,0.939513409845643
Q6SZW1,49425.03874574237,49781.406848492275,0.9825055778386935
P25787,2978792.7662384496,2641996.7597720097,0.6830107866662096
P62841,2849155.2492264565,2501635.491653643,0.6544737497830527
Q12768,284750.84601503133,261220.5866129523,0.7208988759520278
Q9H467,24077.620323263298,27184.88715252817,0.6996533543243693
Q6NW34,76484.04691782291,70822.95495398786,0.8424026400951462
Q07960,1430283.1252940968,1333238.8201149234,0.7102839151899669
Q8IV53,122367.68103312304,125390.77821729933,0.9030704231427684
O60231,171551.47705459132,161836.07206442233,0.7238969585782564
Q96QU8,112393.64218550075,134225.57073781508,0.6746554114635943
Q15021,639318.8794585686,595048.5134461183,0.7085750893786344
O60508,15153.388974146139,12418.776887553335,0.7947867462154026
Q9GZL7,141421.2396553027,137628.91704455766,0.8716135239435753
Q9HBI0,541111.96427203,536943.0077432949,0.9812343606748088
P57772,207119.98180716136,214541.76872347962,0.8061870490901988
P62826,14632366.727027668,15078246.585194565,0.771433313095846
Q96T51,25091.58415321673,26258.152574019598,0.7629942280324165
Q99729,412839.30971869035,422729.090910058,0.9120942162319655
P23368,192311.21061021765,186433.8643203947,0.7387245644671447
Q8N122,41561.19108390113,44879.18267046937,0.8348525876376951
Q15366,3538845.8959801034,3254629.1488225237,0.6906758148074124
Q96AX1,72755.16456581677,66402.62839636304,0.7402080575019021
Q9UHI6,1043951.6722207069,965854.2749590693,0.7226805227026434
P62328,78256703.1395293,84386674.50653125,0.6743522350455995
P63172,117263.72033366024,130836.95715391396,0.6875344590267267
Q99590,363082.406142609,312758.819159461,0.6752927795597026
Q01970,89536.47156188665,91800.9288981863,0.8756532149106198
P55039,135562.536067036,137959.78198572763,0.78014495278305
Q9Y2W1,176276.08713626335,185733.61058302535,0.7247082598774817
Q9NVX2,83557.69937151304,78365.1172552751,0.698336703842547
Q15370,537456.2255605736,575000.7779193659,0.7026951917136802
Q9BYT8,66128.49493561854,68941.65640690214,0.8376031146787993
Q7Z739,67540.53978560337,68863.85096587574,0.9197581291320396
Q9NRN7,427937.9653770256,402939.665857896,0.7622865149669305
O14976,231485.0182804313,218071.39052239034,0.7928688760722623
Q9Y4Z0,454734.6130867326,422105.28031235567,0.7442499452147135
P34932,1998044.2828659865,2077950.7183263134,0.8315447135930641
P30041,2362878.417086153,2302186.908970423,0.8454402672782698
P09884,60532.01418545962,58602.21111018073,0.7393072974237863
Q1KMD3,371878.4217870753,342321.52869513864,0.7427430996366717
Q5T447,44899.428640518534,42305.00308244983,0.8415281359455375
P61006,326608.524542049,330863.991210725,0.8244569024887962
Q15424,175173.51209505764,157245.5642141937,0.6398335762371261
P08754,61346.19906185399,53854.989806360274,0.6309160259159228
Q7L1Q6,647001.7773961863,624234.6031688106,0.7915588108045868
Q13867,222523.223680381,245645.47283264264,0.7001426111961697
P49662,175809.75657945665,153214.12875393932,0.7056491253403258
Q9BV57,97440.12376783373,86603.90589004253,0.66228791924132
P33240,345492.019085458,331907.89557406266,0.7488717902736282
O60684,121325.4397118929,111510.34806188701,0.6811546762212634
Q09472,33536.07176187306,35276.599901864734,0.8308178670214204
P04080,1487434.76563242,1519618.09488828,0.9250484576069964
P35241,5835067.720153373,5679716.849054723,0.8530609577318605
Q6IBS0,593774.3028784656,608669.2394667176,0.8304578497096093
O94822,18039.436564410065,18713.662443445235,0.9010786850014433
P60709,340810842.431238,323513851.07630235,0.747223687950964
Q9HB07,367777.7413822853,355181.16255776904,0.7923644789652912
Q6UX04,69947.51277418913,70064.76656129952,0.995499857315241
O60884,1259834.7954835857,1199329.3948297065,0.7430596776387624
Q86VP6,5323240.19889133,4605326.413177013,0.6920775838624981
Q7Z6Z7,2042798.0706131198,2259512.49346633,0.7761310376171559
Q96PE3,34634.31268075757,36619.5236352692,0.7858019223638731
Q9Y6R4,23314.2838935123,22679.253711745634,0.9559075841278969
O00232,1049578.3387620493,982017.8793395517,0.7252379987837426
Q14699,211713.91235400536,195821.04007269265,0.8407494294595002
P49915,1787236.0263123668,1551407.5832064766,0.6997595008922859
P48556,929868.9168386786,883026.2559699087,0.7457929119996265
P28340,432304.1232543074,440038.14847775205,0.9405083701816479
Q5JWF2,353942.5993040844,374200.4303898313,0.773437355877447
Q86U42,289057.74034760665,279931.593112839,0.8843754545481305
Q9Y266,1483173.4123878935,1401555.06803491,0.7696005682989417
Q14213,458763.52343529096,477753.8742867617,0.852933587927609
Q7L576,154913.9225161043,155345.45953606765,0.9910839449825227
Q9P2D3,119745.8437104171,121091.46920828166,0.9626085659187438
Q99614,343457.4960526973,328568.56090866064,0.7552336669941514
P07741,1977685.60782904,1883053.4797184803,0.7758801724524186
P15170,663460.9964018903,696067.9497449064,0.753753469694986
O15212,552231.513964272,568869.5895378316,0.8218140655633851
Q96K76,89811.78450457193,87889.07664491794,0.9114169838012856
P55735,630190.5637610503,578032.7344166987,0.7150254451294968
P16278,30712.453074211837,27417.422328002565,0.7394188731635024
P41091,1077082.7794286276,1093596.3589188633,0.8853436490010118
P50748,39420.2568060375,40232.88197909691,0.8377271907796143
Q13057,147523.94656262768,144188.43575333865,0.7974972768232256
Q8WWW0,125151.21019465983,119978.85389364808,0.8520667620040451
P49902,317828.6472180703,326476.21331063635,0.9344279058587213
P29144,645250.5541466534,621565.248101249,0.7469258767552022
Q96BY6,129912.01534067567,123120.41052828795,0.7942142617603586
P26440,47523.333828053095,52225.4501807107,0.8107923864765938
P62917,1817494.47466118,1726310.2710775237,0.7370947543571587
P22392,8694864.025259344,8338635.160969264,0.8013246839152568
O14579,1466308.26119286,1492361.22387051,0.8769596670219117
Q9BS26,977101.7065833607,860671.4291357794,0.7331155678273864
Q66K14,69409.80682909534,60403.182462912526,0.7174623647373035
Q9P253,69786.90688644507,71106.98586746426,0.940740999076372
P78346,63627.41200492177,59766.32007626977,0.7787920260719355
Q7L2H7,1365753.67330669,1440045.9602008366,0.7577101957408466
Q15631,579312.037422265,588570.2812322951,0.9244177929576239
Q15369,1258338.6147250107,1142052.7123720453,0.7245320099150047
Q9NUQ8,135640.6616581385,127168.12643553001,0.7391917241057889
Q96EK6,145229.30503025732,149368.577672214,0.8599265256704345
Q9Y5T5,43529.627887462535,42067.36133319127,0.9020079647904593
Q8TEX9,944178.0513928815,1043904.8744686233,0.7300523235420913
P52272,2616500.048155957,2727054.1249644533,0.8491294984709479
Q6IA86,112876.03265691649,108525.36846785193,0.7711092897376342
O43502,19834.140698488784,20534.145786917266,0.9174493863126445
Q15121,480526.8179270243,467254.90971700504,0.8795607518510672
Q13619,192056.204078901,183409.5709367,0.8228984786499507
Q8WUM4,735815.9438546806,753655.3949886366,0.8160471498423214
P26368,387715.0919120624,376977.34844354866,0.8264075989671684
Q15459,362278.53426152834,351401.59952641296,0.8704407579396293
P09012,159153.792846624,149917.182902428,0.7552398236596229
Q12769,67060.08119228114,63944.11284985166,0.8302605633621041
Q8TCD5,975949.1265896285,896129.7302898619,0.7361552400175226
P60953,2963989.4393929,2796840.6551346867,0.7873002166000491
O75792,144770.292744214,142897.938000485,0.9351667036216831
O15067,1142816.04755658,1162865.4383989,0.8401929950721061
Q9BZX2,116265.49343004466,118540.73320947232,0.8672937612436489
Q16204,201847.120318885,204239.5267787847,0.9477423737517872
Q96QG7,7169.724690445721,7960.39552318729,0.7054847648085844
O14980,2566771.837865163,2421377.2389073335,0.7654082912637447
P57764,228978.21557016703,227482.65089510032,0.9804971832392613
Q8IVM0,91819.87303885301,87399.1822823357,0.8085582546040031
Q9HCU8,1455641.204601897,1679867.6299283681,0.6501882324969874
P35527,66186.19072280124,65475.42217379634,0.9808062008754322
O43390,309059.8130059647,319178.3195550383,0.7906713881933369
Q15274,212162.80232789504,193373.999565467,0.7015816086919509
P06748,26899352.882208403,25577238.8427543,0.7518757339344425
O60749,517746.3421890861,491563.235141096,0.7628000710869159
Q709C8,315625.51998326037,311499.5304766393,0.9694025503242665
Q9UNH7,137899.29226419466,134902.67478240433,0.8731709505228535
P60842,7035067.956145306,7323997.300804614,0.7787884084481916
P30153,1412706.8627553976,1320186.4303939368,0.8192790741203537
Q9ULZ3,558941.7530231351,527533.3541561938,0.7947524487503534
P31749,36870.049799929,37027.87053760343,0.9871784425295007
Q99613,1749669.8145507334,1692287.48521646,0.8427840328972592
O14744,1334873.516456898,1341414.0142141867,0.982891295072852
P49961,37971.07650100827,38920.92285599013,0.944366523286672
Q9H9T3,167751.771289334,171041.51545081966,0.8606386749063566
Q15018,108161.87403279023,109228.83114668366,0.8835238723355365
Q9BSJ2,100625.93639532913,89555.02066492336,0.723983980826268
O00410,2342861.255043957,2287431.671634253,0.9187610934438654
Q9H0H0,98708.77103665227,91552.79407797127,0.7283362388659549
Q13347,1039244.5914268427,1091192.649322225,0.7802807019223235
P61201,586003.9286509403,597465.8459417598,0.8706057233380184
O60256,728395.1172857507,738882.383151774,0.915883811239165
P37837,2339974.942608653,2248850.722138357,0.7790296886068611
P46736,83348.11929933696,84534.755419751,0.9393398403123885
Q14320,65578.49621987544,57431.85977298053,0.7073694314994114
P21964,27410.18174243583,24955.9463967788,0.8277744918205542
P40855,166535.65923257932,169983.7205853597,0.9246722239849623
P20273,62032.67481275663,59355.98938275443,0.9138820616281319
Q9Y520,203541.77759224433,193739.21113838267,0.8104498394769365
Q9HB71,1691827.6612200867,1611673.5015932033,0.8036380887525334
